ID;CodigoCentro;region
1;208;6
2;36;4
3;229;9
4;135;5
5;91;3
6;139;4
7;57;6
8;21;2
9;154;6
10;114;7
11;104;9
12;157;7
13;130;12
14;216;8
15;238;10
16;164;9
17;30;7
18;30;7
19;2;7
20;197;5
21;50;8
22;141;8
23;166;12
24;90;2
25;22;6
26;200;11
27;223;12
28;249;2
29;99;10
30;93;8
31;14;11
32;126;4
33;246;1
34;194;7
35;216;8
36;54;11
37;221;11
38;130;12
39;206;6
40;99;10
41;240;10
42;24;12
43;107;7
44;61;12
45;191;12
46;197;5
47;182;12
48;236;10
49;62;4
50;131;10
51;62;4
52;8;4
53;52;9
54;175;7
55;114;7
56;59;3
57;104;9
58;101;4
59;235;10
60;90;2
61;207;3
62;127;8
63;232;2
64;58;12
65;7;11
66;222;3
67;91;3
68;168;2
69;194;7
70;166;12
71;201;6
72;9;4
73;6;12
74;231;13
75;87;12
76;128;5
77;75;3
78;181;7
79;154;6
80;194;7
81;25;8
82;176;12
83;141;8
84;64;11
85;209;6
86;124;11
87;171;3
88;158;11
89;99;10
90;209;6
91;126;4
92;101;4
93;24;12
94;239;9
95;156;4
96;141;8
97;213;13
98;82;11
99;183;13
100;150;10
101;148;10
102;218;11
103;216;8
104;212;7
105;199;4
106;189;10
107;2;7
108;103;4
109;113;11
110;114;7
111;144;11
112;55;2
113;202;5
114;122;4
115;95;2
116;141;8
117;80;11
118;85;1
119;57;6
120;119;10
121;250;5
122;116;5
123;96;10
124;19;3
125;86;7
126;221;11
127;226;1
128;129;4
129;32;3
130;207;3
131;102;5
132;17;6
133;98;4
134;162;9
135;186;10
136;67;8
137;178;10
138;16;7
139;25;8
140;225;5
141;184;7
142;98;4
143;81;11
144;48;9
145;150;10
146;225;5
147;155;10
148;44;3
149;156;4
150;6;12
151;173;5
152;139;4
153;5;2
154;89;6
155;117;2
156;115;6
157;198;3
158;59;3
159;232;2
160;10;2
161;105;12
162;125;10
163;65;9
164;218;11
165;9;4
166;45;9
167;6;12
168;189;10
169;136;4
170;138;11
171;198;3
172;185;3
173;164;9
174;8;4
175;137;7
176;70;11
177;70;11
178;42;4
179;41;5
180;39;5
181;79;4
182;1;3
183;132;7
184;93;8
185;220;7
186;52;9
187;60;12
188;216;8
189;8;4
190;146;2
191;154;6
192;14;11
193;225;5
194;73;8
195;22;6
196;140;10
197;25;8
198;188;2
199;145;5
200;202;5
201;144;11
202;227;4
203;222;3
204;73;8
205;163;5
206;3;10
207;5;2
208;77;12
209;20;4
210;157;7
211;115;6
212;214;8
213;213;13
214;150;10
215;69;9
216;3;10
217;31;4
218;69;9
219;17;6
220;8;4
221;61;12
222;209;6
223;234;1
224;179;4
225;140;10
226;24;12
227;60;12
228;71;10
229;76;2
230;235;10
231;159;4
232;194;7
233;172;2
234;49;2
235;4;4
236;74;2
237;96;10
238;171;3
239;67;8
240;179;4
241;146;2
242;234;1
243;205;4
244;168;2
245;67;8
246;97;2
247;223;12
248;103;4
249;86;7
250;189;10
251;231;13
252;59;3
253;248;6
254;181;7
255;64;11
256;204;5
257;72;8
258;118;9
259;116;5
260;250;5
261;47;10
262;228;5
263;187;9
264;226;1
265;177;4
266;162;9
267;60;12
268;78;4
269;10;2
270;22;6
271;172;2
272;171;3
273;71;10
274;208;6
275;150;10
276;205;4
277;105;12
278;66;1
279;228;5
280;187;9
281;87;12
282;120;13
283;186;10
284;24;12
285;247;11
286;157;7
287;69;9
288;63;10
289;75;3
290;30;7
291;230;4
292;250;5
293;12;8
294;111;4
295;131;10
296;103;4
297;36;4
298;94;5
299;14;11
300;191;12
301;179;4
302;218;11
303;124;11
304;116;5
305;98;4
306;118;9
307;141;8
308;136;4
309;102;5
310;235;10
311;112;10
312;32;3
313;198;3
314;166;12
315;76;2
316;8;4
317;183;13
318;143;4
319;105;12
320;166;12
321;22;6
322;56;12
323;244;5
324;162;9
325;84;3
326;82;11
327;74;2
328;134;5
329;219;7
330;93;8
331;179;4
332;94;5
333;185;3
334;130;12
335;16;7
336;175;7
337;10;2
338;238;10
339;87;12
340;214;8
341;190;6
342;178;10
343;80;11
344;49;2
345;194;7
346;201;6
347;130;12
348;92;6
349;75;3
350;78;4
351;202;5
352;37;6
353;138;11
354;117;2
355;138;11
356;132;7
357;101;4
358;59;3
359;25;8
360;125;10
361;106;8
362;93;8
363;57;6
364;156;4
365;10;2
366;157;7
367;83;4
368;183;13
369;99;10
370;86;7
371;38;10
372;6;12
373;3;10
374;228;5
375;226;1
376;212;7
377;108;8
378;239;9
379;70;11
380;168;2
381;245;4
382;73;8
383;65;9
384;55;2
385;33;12
386;14;11
387;211;3
388;4;4
389;30;7
390;179;4
391;21;2
392;239;9
393;111;4
394;47;10
395;144;11
396;40;8
397;224;2
398;197;5
399;137;7
400;90;2
401;44;3
402;245;4
403;151;5
404;145;5
405;154;6
406;151;5
