age gender earnings education
30 male   34.615383 16
30 female 19.230770 16
30 female 13.736263 12
30 female 13.942307 13
30 female 19.230770 16
30 female  8.000000 12
30 male   19.230770 12
29 male   26.153847 16
29 male   26.442308 16
30 female  6.221719 12
29 male   24.038462 14
29 male   38.461540 18
29 male   19.230770 18
29 female 10.817307 11
29 male    5.769231 12
29 male   13.500000 12
30 male   12.980769 16
30 male   35.470085 13
30 male   18.750000 16
30 female 24.038462 16
30 male   19.230770 16
29 female 15.000000 14
29 male    8.791209 12
29 male    7.692307 13
30 male   11.538462 12
29 male   28.846153 13
29 male   19.183674 14
30 male   16.826923 12
29 female 24.291498 16
30 female 10.256411 16
30 male   14.423077 12
30 male   12.980769 13
29 female 10.121457 12
29 male   17.307692 13
30 male    9.615385 13
29 female 21.978022 16
29 male   17.307692 16
30 female  5.769231 16
29 male   16.826923 14
29 female 14.423077 13
30 male   17.788462 12
30 female 32.000000 18
29 male   19.230770 12
29 male   10.000000  9
30 male   10.000000  9
30 male   10.000000  9
30 female  7.142857 14
30 male   18.750481 16
29 female 10.576923 16
29 female  7.692307  9
29 female 17.032967 16
29 male   23.076923 18
30 male   14.423077 12
30 male   14.423077 16
30 male    6.250000 11
30 male   22.115385 12
29 female 27.777779 12
30 male   21.634615 16
30 male   10.989011 16
30 female 14.423077 16
30 male   13.736263 13
29 male   12.980769 12
29 male    8.653846 12
30 female  8.653846 14
30 female 12.219551 14
29 female 12.500000 12
30 female 14.194139 16
30 female 21.634615 16
30 female  6.730769 12
30 female 17.369230 14
29 female 12.019231 12
30 male   16.826923 13
29 male   53.981731 12
29 male    9.615385 12
30 female 14.423077 18
30 male   16.826923 13
29 female 40.063942 18
29 male   28.846153 16
29 female 30.288462 16
30 female  9.615385 14
29 female 11.538462 14
30 male   21.634615 12
30 female 15.384615 12
29 male   29.914530 16
30 female 14.925000 13
30 male   14.423077 14
30 male   11.217949 13
30 female 28.632479 18
29 male   19.230770 18
30 female 19.230770 16
29 female 11.057693 13
29 female 11.538462 16
30 male   31.250000 12
30 male   24.038462 14
30 female 22.307692 16
29 male   16.826923 13
30 female 19.667831 16
29 male   17.184942 13
30 female 25.000000 16
30 female 28.000000 16
29 female 32.692307 16
30 male   14.005602 12
30 male   10.989011 12
29 male   14.957265 16
29 male   27.884615 16
30 female 10.096154 13
30 male   13.461538  6
30 male    2.136752 12
29 male   23.931623 14
29 female 13.354701 13
29 male   18.576923 18
